algorithm,dataset,seed,n_reps,horizon_days,warmup_days,n_planned_calls,n_productive_calls,sales_abs,sales_planned,sales_greedy,sales_naive,sales_norm,sales_norm_note,coverage,robustness_ratio,robustness_abs_loss,disruption_rate,failures_rep_absent,failures_account_unavail,failures_both,lp_fallback_invocations,prediction_time_sec,total_time_sec
lp,forge_synth_default,42,1100,365,90,3253950,2924296,97266.7391,99035.622,80097.7597,45666.5978,1.498647,ok,0.999885,0.982139,1768.8828,0.101309,79118,242927,7609,0,701.6,739.9
lp,forge_synth_default,43,1100,365,90,3253950,2924296,97266.7391,99035.622,80097.7597,45666.5978,1.498647,ok,0.999885,0.982139,1768.8828,0.101309,79118,242927,7609,0,719.2,758.1
markov,forge_synth_default,42,1100,365,90,1007793,894674,57567.0894,61165.2592,80097.7597,45666.5978,0.345631,ok,0.949778,0.941173,3598.1698,0.112244,33125,76817,3177,0,648.9,683.6
markov,forge_synth_default,43,1100,365,90,1008247,895686,57538.7804,61169.1198,80097.7597,45666.5978,0.344809,ok,0.950879,0.940651,3630.3394,0.11164,32955,76367,3239,0,661.9,695.6
naive,forge_synth_default,42,1100,365,90,3021553,2556201,85029.7704,86521.8328,80097.7597,45666.5978,1.143243,ok,0.671321,0.982755,1492.0624,0.154011,229701,215289,20362,0,636.5,673.7
naive,forge_synth_default,43,1100,365,90,3021553,2556201,85027.1183,86518.7812,80097.7597,45666.5978,1.143166,ok,0.671321,0.982759,1491.663,0.154011,229701,215289,20362,0,630.3,667.6
lp,foursquare_nyc,42,1041,120,40,782290,705200,4723.7174,4740.1479,4377.092,3114.1532,nan,not meaningful on Foursquare (greedy ceiling artifact),0.987996,0.996534,16.4306,0.098544,17503,58015,1572,0,25.2,31.2
lp,foursquare_nyc,43,1041,120,40,782290,705200,4723.7174,4740.1479,4377.092,3114.1532,nan,not meaningful on Foursquare (greedy ceiling artifact),0.987996,0.996534,16.4306,0.098544,17503,58015,1572,0,24.9,30.8
markov,foursquare_nyc,42,1041,120,40,133668,120237,3307.3471,3414.2365,4377.092,3114.1532,nan,not meaningful on Foursquare (greedy ceiling artifact),0.946473,0.968693,106.8894,0.10048,2957,10191,283,0,16.4,21.5
markov,foursquare_nyc,43,1041,120,40,134481,121051,3319.1997,3423.7704,4377.092,3114.1532,nan,not meaningful on Foursquare (greedy ceiling artifact),0.948194,0.969457,104.5707,0.099865,2995,10169,266,0,16.3,21.4
naive,foursquare_nyc,42,1041,120,40,53007,44835,2973.4668,3213.1596,4377.092,3114.1532,nan,not meaningful on Foursquare (greedy ceiling artifact),0.846528,0.925403,239.6927,0.154168,4227,3611,334,0,16.4,21.5
naive,foursquare_nyc,43,1041,120,40,53007,44835,2972.8421,3210.7946,4377.092,3114.1532,nan,not meaningful on Foursquare (greedy ceiling artifact),0.844658,0.92589,237.9525,0.154168,4227,3611,334,0,16.2,21.3
lp,foursquare_tokyo,42,2153,120,40,1828555,1649958,6709.2761,6741.9561,6435.3766,4787.1214,nan,not meaningful on Foursquare (greedy ceiling artifact),0.98391,0.995153,32.68,0.097671,41154,133666,3777,0,72.5,85.9
lp,foursquare_tokyo,43,2153,120,40,1828555,1649958,6709.2761,6741.9561,6435.3766,4787.1214,nan,not meaningful on Foursquare (greedy ceiling artifact),0.98391,0.995153,32.68,0.097671,41154,133666,3777,0,72.4,85.7
markov,foursquare_tokyo,42,2153,120,40,328009,295907,3991.0893,4143.0522,6435.3766,4787.1214,nan,not meaningful on Foursquare (greedy ceiling artifact),0.877332,0.963321,151.9629,0.097869,7230,24174,698,0,65.6,77.3
markov,foursquare_tokyo,43,2153,120,40,327706,295401,3996.4985,4141.8884,6435.3766,4787.1214,nan,not meaningful on Foursquare (greedy ceiling artifact),0.874969,0.964898,145.3899,0.098579,7277,24310,718,0,66.8,78.6
naive,foursquare_tokyo,42,2153,120,40,130222,110078,4316.014,4621.2494,6435.3766,4787.1214,nan,not meaningful on Foursquare (greedy ceiling artifact),0.806176,0.93395,305.2354,0.15469,10218,9062,864,0,66.8,78.3
naive,foursquare_tokyo,43,2153,120,40,130222,110078,4315.8254,4620.5558,6435.3766,4787.1214,nan,not meaningful on Foursquare (greedy ceiling artifact),0.807856,0.934049,304.7304,0.15469,10218,9062,864,0,68.0,79.5
